ECOLI_LOG10,TURB_NTRU,RHUM_PCT,WTEMP_CEL,BIRDS_NO,CHANGELL_FT,AirportWindSpInst_mph,AirportRain48W_in
0.6021,9.81,79,15.44,0,-0.131,6,0.075
0.301,3.255,91,10.56,5,-0.014,0,0
0.301,1.895,73,16.83,0,0.125,6,0
0.301,1.9725,42,9.22,0,-0.026,14,0
1.0792,3.1425,64,10.56,1,0.016,14,0
2.4378,23.25,87,13.5,7,0.082,11,0.58
1.5563,14.525,61,15.89,5,0.118,6,0.29
1.5563,159.75,77,16.17,37,-0.282,5,0.25
1.2041,6.69,77,16.61,50,0.296,6,0.125
0.301,2.585,72,17.78,30,-0.23,0,0
0.301,2.2225,64,17.56,9,-0.013,9,0
2.3729,21.825,77,17.61,0,0.069,7,2.14
0.6021,3.0575,83,17.89,2,-0.036,6,1.07
1.3802,2.91,76,17.28,26,0,6,0.03
2.1271,3.1825,77,18.83,32,-0.046,11,0.205
1.3802,2.6025,81,18.78,0,0.118,6,1.005
2.0934,23.025,72,17.33,1,0.033,9,1.455
1.6232,6.4975,69,18.94,13,-0.296,6,0.5
2.3424,3.92,63,18.39,13,0.22,10,0.01
2.0414,6.65,74,20.72,3,0.003,8,0.005
1.7634,12.8,88,20.83,15,-0.095,6,1.56
2.0645,4.125,90,20.56,23,-0.131,8,1.34
0.7782,3.95,55,19.56,15,0.348,0,0.28
2.2253,2.8,69,17.39,5,-0.253,5,0
0.301,4.725,60,18.83,130,0.033,3,0
1.6628,1.855,74,17.17,64,0.22,8,0
2.444,4.655,76,19.5,22,-0.053,14,0.12
2.0934,11.95,93,20.11,24,-0.065,0,0.9
2.4969,15.075,91,21.11,27,0.059,7,1.03
1.4771,3.575,80,22.06,35,0.088,3,0.305
2.3464,19.225,81,22.5,17,0.039,8,1.6
2.3945,20.95,72,23.89,24,-0.282,22,0.8
1.9542,20.925,83,23.17,17,0.213,8,0.17
1.6812,7.275,77,24.22,40,0.213,6,0.165
2.2923,29.925,70,21.83,0,-0.147,8,0.06
2.2648,10.1,56,22.56,25,0.121,3,0.01
1.415,8.675,57,22.72,32,-0.115,10,0
1.699,50.45,88,22.5,58,0.181,10,0.47
1.8921,50.975,80,23.67,25,-0.207,14,0.315
2.4314,71.875,80,22.56,28,0.453,6,3.33
2,4.025,67,23.33,24,-0.532,5,1.645
1,1.63,70,23.11,50,-0.013,0,0
0.7782,1.665,63,22.11,60,0.049,5,0
1.7782,11.25,81,22.44,27,0.03,16,0.15
1.6021,8.875,71,23.78,0,-0.138,6,0.125
2.6758,22.325,81,24.78,49,0.755,11,0.175
